"Deployment #","Date","Time","OctoID","Bottle ID","Event_type","Species","Behavior","Notes","1st Analyst ID","2nd Analyst ID","3rd Analyst ID","4th Analyst ID"
3,"2021/07/11","18:11:43","Un Oc 28","BID2","non-resident non-interaction","octopus_rubescens","touch_uninhabited_bottle","feels in with tentacles","Seals",NA,NA,NA
3,"2021/07/11","18:12:02","Un Oc 28","BID2","non-resident non-interaction","octopus_rubescens","reach_inside_uninhabited_bottle",NA,NA,NA,NA,NA
3,"2021/07/11","18:12:16","Un Oc 28",NA,"non-resident non-interaction","octopus_rubescens","frame_departure",NA,"Seals",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2021/07/11","18:49:08","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","18:49:15","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","touch_uninhabited_bottle",NA,NA,NA,NA,NA
3,"2021/07/11","18:50:48","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","enter_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","18:50:48","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","periscope","periscopes and occassionally reaches out with tentacles","Seals",NA,NA,NA
3,"2021/07/11","18:54:27","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:01:38","Un Oc 29",NA,"resident non-interaction","octopus_rubescens","second_departure","removed second frame arrival within 6 hours","Seals",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2021/07/11","19:08:27","Un Oc 29",NA,"resident non-interaction","octopus_rubescens","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:08:49","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","touch_uninhabited_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:09:07","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","enter_bottle",NA,NA,NA,NA,NA
3,"2021/07/11","19:09:33","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","periscope",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:14:56","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Seals",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2021/07/11","19:19:00","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","enter_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:23:00","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify","begins dragging rocks and shells to fortify bottle","Seals",NA,NA,NA
3,"2021/07/11","19:40:58",NA,NA,"non-resident non-interaction","sailfin sculpin","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:41:53",NA,NA,"non-resident non-interaction","sailfin sculpin","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:42:46",NA,NA,"non-resident non-interaction","sailfin sculpin","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","19:42:59","Un Oc 29","BID2","nonresident/resident interaction","octopus_rubescens","fortify","no accurate tag for this, just punched the fish probably. Same sailfin sculpin from earlier","Seals",NA,NA,NA
3,"2021/07/11","19:43:25",NA,NA,"non-resident non-interaction","sailfin sculpin","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:01:46",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival","crabs mating while moving across screen","Seals",NA,NA,NA
3,"2021/07/11","20:02:06",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:12:40",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:19:01","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","den_opening","peaks out and spreads tentacles then retreats back inside","Seals",NA,NA,NA
3,"2021/07/11","20:22:14",NA,NA,"non-resident non-interaction","red rock crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:26:43","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Seals",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2021/07/11","20:29:40","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","enter_bottle",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:31:21","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:32:54","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:37:36",NA,NA,"non-resident non-interaction","cancer crab","frame_arrival",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:38:09",NA,NA,"non-resident non-interaction","cancer crab","frame_departure",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:46:42","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:49:21","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:54:59","Un Oc 29","BID2","resident non-interaction","octopus_rubescens","fortify",NA,"Seals",NA,NA,NA
3,"2021/07/11","20:59:08",NA,NA,"non-resident non-interaction","dungeness crab","frame_arrival","arrives with small red rock crab, probably mating","Seals",NA,NA,NA
3,"2021/07/11","20:59:08",NA,NA,"non-resident non-interaction","dungeness crab","frame_departure","the mating crabs leave","Seals",NA,NA,NA
3,"2021/07/11","22:01:17",NA,NA,"non-resident non-interaction","red rock crab","frame_arrival","crab either half covered in dirt, strange coloration, or partially diseased? also mating","Seals",NA,NA,NA
